USER_ID,TREATMENT_GROUP,VERTICAL,ASP_BUCKET,LISTING_TOOL,LISTINGS_CNT,LISTINGS_CONV_7D,LISTINGS_CONV_14D
2087612942,TREATMENT,Electronics,3) 20-50,Shelby/Magi Native,7,0,0
995520582,TREATMENT,Collectibles,4) 50-100,Shelby/Magi Native,1,0,0
201808208,TREATMENT,Fashion,2) 10-20,Shelby/Magi Native,16,2,5
1009355468,CONTROL,Collectibles,1) 0-10,Shelby/Magi Native,4,1,1
1141745402,TREATMENT,Media,1) 0-10,BLING/Magical Bling,4,0,0
2261475585,TREATMENT,Media,1) 0-10,Auto Relist,8,0,0
1834271031,CONTROL,Fashion,2) 10-20,Auto Relist,1,0,0
67237422,TREATMENT,Parts & Accessories,2) 10-20,Helix,1,0,0
2613309171,CONTROL,Home & Garden,1) 0-10,Shelby/Magi Native,3,2,2
2588282848,TREATMENT,Collectibles,1) 0-10,Shelby/Magi Native,1,0,0
137260311,TREATMENT,Collectibles,3) 20-50,Shelby/Magi Native,8,0,0
180437628,CONTROL,Collectibles,4) 50-100,Helix,1,0,0
2653475806,CONTROL,Fashion,3) 20-50,3rd party API,4,0,0
880190442,TREATMENT,Electronics,3) 20-50,Helix,5,0,0
1469403826,CONTROL,Collectibles,1) 0-10,Shelby/Magi Native,1,0,0
2747341988,TREATMENT,Fashion,5) 100-200,Native B2C BOLT,15,0,0
1484935826,CONTROL,Media,2) 10-20,C2C BOLT,1,0,0
1188470230,TREATMENT,Collectibles,2) 10-20,Auto Relist,1,0,0
1298030764,TREATMENT,Electronics,1) 0-10,Helix,3,0,0
65824329,TREATMENT,Collectibles,3) 20-50,Shelby/Magi Native,1,1,1
1723243359,TREATMENT,Collectibles,1) 0-10,Auto Relist,5,0,0
2545618854,CONTROL,Collectibles,1) 0-10,Auto Relist,2,0,0
1363990904,TREATMENT,Fashion,3) 20-50,Shelby/Magi Native,10,0,0
2667061780,TREATMENT,Collectibles,5) 100-200,Shelby/Magi Native,3,2,2
1453826779,TREATMENT,Media,1) 0-10,Shelby/Magi Native,14,1,1
1214982533,TREATMENT,Fashion,2) 10-20,BLING/Magical Bling,41,0,0
228134359,TREATMENT,Lifestyle,5) 100-200,Shelby/Magi Native,3,1,1
424809170,CONTROL,Lifestyle,4) 50-100,Helix,9,1,1
1091145821,TREATMENT,Fashion,6) 200-500,Shelby/Magi Native,1,1,1
302710808,TREATMENT,Collectibles,2) 10-20,Auto Relist,8,0,0
2241267968,CONTROL,Collectibles,3) 20-50,Shelby/Magi Native,7,0,0
1965835744,TREATMENT,Lifestyle,4) 50-100,Shelby/Magi Native,2,0,0
34963662,TREATMENT,Fashion,1) 0-10,Shelby/Magi Native,17,2,2
2657717820,TREATMENT,Collectibles,1) 0-10,Others,15,12,13
968809398,CONTROL,Electronics,2) 10-20,Auto Relist,2,0,0
86951031,TREATMENT,Electronics,2) 10-20,Shelby/Magi Native,13,1,1
676636296,TREATMENT,Collectibles,6) 200-500,Auto Relist,2,0,0
2256155442,CONTROL,Fashion,2) 10-20,Shelby/Magi Native,10,1,1
269748864,TREATMENT,Collectibles,1) 0-10,BLING/Magical Bling,7,0,0
518422136,TREATMENT,Collectibles,3) 20-50,Shelby/Magi Native,10,0,0
170920658,CONTROL,Collectibles,1) 0-10,Auto Relist,4,0,1
674154368,CONTROL,Electronics,3) 20-50,Native B2C BOLT,2,0,1
2802450855,CONTROL,Fashion,1) 0-10,Shelby/Magi Native,44,5,6
1070053532,CONTROL,Parts & Accessories,5) 100-200,Shelby/Magi Native,2,0,1
1433261509,CONTROL,Media,2) 10-20,Auto Relist,10,0,0
2061683459,TREATMENT,Fashion,3) 20-50,Shelby/Magi Native,3,0,0
382159017,TREATMENT,Home & Garden,1) 0-10,Others,1,0,1
185369840,CONTROL,Fashion,3) 20-50,Shelby/Magi Native,13,1,3
1598300961,CONTROL,Media,2) 10-20,BLING/Magical Bling,21,2,2
687123705,TREATMENT,Collectibles,1) 0-10,Shelby/Magi Native,4,1,1
2809865133,TREATMENT,Collectibles,2) 10-20,Shelby/Magi Native,5,4,4
1150858030,TREATMENT,Collectibles,3) 20-50,Auto Relist,5,2,2
168632227,TREATMENT,Fashion,3) 20-50,Auto Relist,27,0,0
1988280696,TREATMENT,Home & Garden,3) 20-50,Helix,2,0,0
999674607,CONTROL,Electronics,5) 100-200,Shelby/Magi Native,3,0,0
1058257095,CONTROL,Fashion,1) 0-10,Shelby/Magi Native,4,0,0
1713927008,TREATMENT,Collectibles,4) 50-100,Shelby/Magi Native,3,1,1
1299952871,CONTROL,Fashion,2) 10-20,Auto Relist,11,0,0
58249606,CONTROL,Fashion,2) 10-20,Others,1,0,1
2663219120,TREATMENT,Fashion,3) 20-50,Shelby/Magi Native,42,4,6
1148347270,CONTROL,Electronics,3) 20-50,BLING/Magical Bling,37,2,3
106505863,TREATMENT,Collectibles,1) 0-10,Auto Relist,2,0,0
942528056,CONTROL,Parts & Accessories,1) 0-10,Others,8,3,4
1858460578,TREATMENT,Media,2) 10-20,Shelby/Magi Native,4,0,0
1367582360,TREATMENT,Fashion,1) 0-10,Helix,1,0,0
849363435,CONTROL,Home & Garden,3) 20-50,Shelby/Magi Native,5,0,0
429515098,CONTROL,Fashion,2) 10-20,Helix,8,2,3
1678635131,CONTROL,Media,2) 10-20,Shelby/Magi Native,6,0,0
217521652,TREATMENT,Fashion,1) 0-10,Shelby/Magi Native,2,0,1
1150150836,CONTROL,Fashion,2) 10-20,Shelby/Magi Native,7,1,4
1103454545,CONTROL,Media,1) 0-10,Auto Relist,8,1,1
30752053,TREATMENT,Fashion,1) 0-10,Shelby/Magi Native,10,1,1
880578912,CONTROL,Media,1) 0-10,Auto Relist,3,0,0
1055621905,CONTROL,Home & Garden,1) 0-10,BLING/Magical Bling,3,1,1
279605649,TREATMENT,Fashion,1) 0-10,Shelby/Magi Native,1,0,0
1805830700,TREATMENT,Fashion,3) 20-50,Shelby/Magi Native,14,5,6
2333474073,CONTROL,Collectibles,1) 0-10,Auto Relist,7,4,6
126501122,CONTROL,Collectibles,4) 50-100,Auto Relist,2,0,0
1714778814,TREATMENT,Business & Industrial,4) 50-100,Helix,1,0,0
537295869,CONTROL,Fashion,2) 10-20,Shelby/Magi Native,15,0,0
1045667951,CONTROL,Fashion,2) 10-20,BLING/Magical Bling,1,0,0
1196800359,CONTROL,Collectibles,2) 10-20,Shelby/Magi Native,1,0,0
1293170825,TREATMENT,Collectibles,3) 20-50,Helix,1,0,0
81715147,CONTROL,Collectibles,2) 10-20,Auto Relist,25,8,10
2759097396,TREATMENT,Collectibles,1) 0-10,Auto Relist,17,0,0
2421348292,CONTROL,Parts & Accessories,1) 0-10,Auto Relist,2,0,0
2018760091,CONTROL,Fashion,1) 0-10,Auto Relist,103,8,9
1101950629,CONTROL,Fashion,1) 0-10,Shelby/Magi Native,5,0,0
271914004,TREATMENT,Fashion,1) 0-10,Shelby/Magi Native,1,1,1
