USER_ID,TREATMENT_GROUP,VERTICAL,ASP_BUCKET,LISTING_TOOL,GMV_TOTAL,QTY_TOTAL
1150287428,CONTROL,Home & Garden,04: 30-40,Magi Native,71.428100,2
1930818325,CONTROL,Lifestyle,05: 40-50,Magi Native,44.447146,1
2769046338,CONTROL,Fashion,06: 50-100,Magi Native,93.206932,1
2438972233,TREATMENT,Parts & Accessories,04: 30-40,Magi Native,36.495716,1
2538351846,TREATMENT,Fashion,07: 100-500,Shelby,2163.543672,10
839390187,CONTROL,Collectibles,01: 0-10,BLING,67.061552,20
2715689174,CONTROL,Media,07: 100-500,Auto Relist,112.384703,1
38924133,CONTROL,Parts & Accessories,06: 50-100,Magi Native,278.475251,4
38326025,CONTROL,Collectibles,06: 50-100,Helix,256.709896,4
347088469,TREATMENT,Parts & Accessories,03: 20-30,Shelby,163.290599,6
74670016,TREATMENT,Parts & Accessories,07: 100-500,Magi Native,275.725943,2
1572666859,TREATMENT,Collectibles,07: 100-500,C2C BOLT,186.535157,1
2215383832,TREATMENT,Collectibles,02: 10-20,Shelby,101.252701,6
1293252447,CONTROL,Collectibles,07: 100-500,Shelby,792.802154,7
1686103033,CONTROL,Parts & Accessories,02: 10-20,Native B2C BOLT,18.517398,1
1878971771,TREATMENT,Collectibles,04: 30-40,Shelby,106.353500,3
19175703,CONTROL,Collectibles,02: 10-20,Helix,37.034796,2
2160471067,CONTROL,Collectibles,03: 20-30,C2C BOLT,44.502929,2
1894239655,CONTROL,Fashion,02: 10-20,Magi Native,15.633320,1
214462635,CONTROL,Fashion,01: 0-10,Shelby,135.085106,19
2783650813,TREATMENT,Parts & Accessories,05: 40-50,C2C BOLT,43.732865,1
2772722047,TREATMENT,Electronics,02: 10-20,C2C BOLT,17.075359,1
38639681,CONTROL,Collectibles,03: 20-30,Native B2C BOLT,76.266343,3
830058524,CONTROL,Business & Industrial,03: 20-30,Helix,162.155264,7
1140777633,TREATMENT,Collectibles,03: 20-30,Shelby,21.715461,1
2753538359,CONTROL,Fashion,02: 10-20,Shelby,30.862330,2
1065824071,CONTROL,Media,02: 10-20,Shelby,41.765223,3
883778664,TREATMENT,Collectibles,02: 10-20,Magi Native,29.501153,2
600646487,TREATMENT,Parts & Accessories,08: 500-1000,Shelby,902.554690,1
825434982,TREATMENT,Home & Garden,02: 10-20,Helix,479.947543,30
2245702442,TREATMENT,Parts & Accessories,03: 20-30,Magi Native,51.522571,2
456122849,CONTROL,Collectibles,06: 50-100,Helix,71.023790,1
956300581,TREATMENT,Collectibles,02: 10-20,Helix,24.582048,2
1578993296,CONTROL,Collectibles,07: 100-500,Helix,728.041017,2
2295930078,CONTROL,Home & Garden,07: 100-500,Shelby,549.120365,3
1193800207,TREATMENT,Business & Industrial,03: 20-30,Helix,537.152789,20
2302471763,CONTROL,Fashion,04: 30-40,Magi Native,36.657440,1
121418841,TREATMENT,Collectibles,06: 50-100,Helix,67.194104,1
17798319,CONTROL,Media,01: 0-10,BLING,14.501252,2
1063189540,CONTROL,Home & Garden,07: 100-500,Magi Native,320.631307,1
1055525844,TREATMENT,Lifestyle,07: 100-500,Others,106.387438,1
2248534284,TREATMENT,Collectibles,01: 0-10,Magi Native,50.377026,6
130611077,TREATMENT,Media,04: 30-40,Helix,72.748846,2
528073811,TREATMENT,Electronics,07: 100-500,Shelby,125.255238,1
360025843,TREATMENT,Collectibles,02: 10-20,Shelby,33.759885,2
1250586914,TREATMENT,Collectibles,04: 30-40,Shelby,74.123500,2
2697483621,CONTROL,Fashion,07: 100-500,Shelby,107.816000,1
169765630,TREATMENT,Media,02: 10-20,CUB,72.155858,4
107606446,CONTROL,Lifestyle,04: 30-40,Magi Native,30.943192,1
796646510,TREATMENT,Collectibles,06: 50-100,Magi Native,58.894490,1
1905091160,CONTROL,Collectibles,01: 0-10,Shelby,84.855245,10
1066009993,CONTROL,Home & Garden,06: 50-100,Magi Native,74.986028,1
2785802706,TREATMENT,Collectibles,06: 50-100,Shelby,118.641390,2
2652560077,TREATMENT,Electronics,02: 10-20,Helix,247.855507,18
2174272710,TREATMENT,Fashion,06: 50-100,C2C BOLT,70.956405,1
2321320302,TREATMENT,Fashion,02: 10-20,Shelby,20.471563,1
967043331,TREATMENT,Home & Garden,02: 10-20,Shelby,134.985632,10
2219315498,TREATMENT,Home & Garden,03: 20-30,BLING,25.714116,1
2751363413,TREATMENT,Fashion,02: 10-20,Magi Native,20.350270,1
1871693341,CONTROL,Electronics,06: 50-100,C2C BOLT,55.161361,1
2608969045,TREATMENT,Lifestyle,06: 50-100,Native B2C BOLT,205.781794,3
76262854,CONTROL,Electronics,07: 100-500,Helix,430.158886,1
1450807480,CONTROL,Collectibles,05: 40-50,Shelby,137.034136,3
192645698,TREATMENT,Media,01: 0-10,BLING,19.770759,2
1072749323,CONTROL,Media,05: 40-50,Helix,93.873344,2
1154908644,CONTROL,Electronics,09: >1000,Helix,2791.019315,1
2714355660,TREATMENT,Lifestyle,04: 30-40,Helix,38.072525,1
73223019,TREATMENT,Parts & Accessories,02: 10-20,Shelby,33.827270,2
2265464301,CONTROL,Lifestyle,03: 20-30,Shelby,26.334058,1
2073823040,TREATMENT,Electronics,06: 50-100,Magi Native,69.473935,1
1138691804,TREATMENT,Collectibles,02: 10-20,Helix,36.926980,2
1085039701,CONTROL,Electronics,05: 40-50,Magi Native,40.997034,1
54831132,TREATMENT,Electronics,01: 0-10,Shelby,27.398741,3
1704273504,CONTROL,Electronics,02: 10-20,Magi Native,19.379926,1
2257442734,CONTROL,Collectibles,02: 10-20,Magi Native,25.589714,2
1077414825,CONTROL,Media,04: 30-40,Helix,377.787264,11
1029646889,TREATMENT,Lifestyle,02: 10-20,Shelby,119.163634,10
2284428047,TREATMENT,Home & Garden,03: 20-30,Auto Relist,24.258600,1
2051700852,TREATMENT,Electronics,07: 100-500,Shelby,209.486488,1
1085459067,CONTROL,Parts & Accessories,05: 40-50,Shelby,177.842492,4
300821746,CONTROL,Electronics,07: 100-500,Helix,1045.559137,3
2807523864,CONTROL,Fashion,01: 0-10,Auto Relist,30.794945,4
2804572982,CONTROL,Fashion,03: 20-30,Shelby,4654.794076,173
2737603453,TREATMENT,Electronics,02: 10-20,Helix,100.349742,7
1211096326,CONTROL,Fashion,06: 50-100,Shelby,81.994068,1
1188747286,CONTROL,Fashion,05: 40-50,Auto Relist,40.538816,1
1332319744,CONTROL,Collectibles,07: 100-500,Magi Native,404.310000,1
637347396,TREATMENT,Media,03: 20-30,Helix,98.489916,4
2560768690,CONTROL,Fashion,06: 50-100,Magi Native,83.638262,1
1135975829,TREATMENT,Collectibles,07: 100-500,Auto Relist,102.694740,1
2217932677,CONTROL,Collectibles,05: 40-50,Auto Relist,47.169500,1
2650520607,TREATMENT,Home & Garden,03: 20-30,Helix,22.830038,1
89438540,TREATMENT,Collectibles,06: 50-100,Shelby,94.136845,1
988556320,TREATMENT,Home & Garden,06: 50-100,Helix,121.212138,2
2824694376,CONTROL,Electronics,07: 100-500,Helix,1652.630602,5
2332075924,CONTROL,Fashion,01: 0-10,Helix,122.116907,20
88588904,CONTROL,Fashion,06: 50-100,Auto Relist,90.039837,1
1052473837,CONTROL,Collectibles,01: 0-10,Magi Native,6.981086,1
2386877740,CONTROL,Electronics,07: 100-500,Magi Native,144.338670,1
1314337440,TREATMENT,Lifestyle,03: 20-30,Magi Native,27.344833,1
801038199,TREATMENT,Fashion,02: 10-20,Magi Native,15.633320,1
2573384144,TREATMENT,Fashion,07: 100-500,Native B2C BOLT,188.556707,1
2830148765,CONTROL,Lifestyle,04: 30-40,Magi Native,69.150487,2
61375086,TREATMENT,Fashion,03: 20-30,Magi Native,25.727593,1
313016771,TREATMENT,Media,02: 10-20,Helix,70.727296,4
2077349472,CONTROL,Fashion,01: 0-10,Magi Native,72.600600,12
2639733250,CONTROL,Business & Industrial,07: 100-500,Shelby,155.106793,1
143406974,CONTROL,Fashion,02: 10-20,Magi Native,18.517398,1
1718589504,CONTROL,Home & Garden,06: 50-100,Magi Native,57.021187,1
2668916532,TREATMENT,Parts & Accessories,03: 20-30,Native B2C BOLT,25.471530,1
1478423064,TREATMENT,Fashion,01: 0-10,Auto Relist,9.851687,1
1139970060,TREATMENT,Lifestyle,03: 20-30,Magi Native,21.657539,1
1864164436,CONTROL,Fashion,06: 50-100,Magi Native,279.647750,4
2054792167,TREATMENT,Collectibles,02: 10-20,Magi Native,17.425761,1
1846440516,CONTROL,Collectibles,02: 10-20,Magi Native,11.024186,1
78431359,TREATMENT,Electronics,02: 10-20,Shelby,26.940523,2
1353739442,CONTROL,Collectibles,01: 0-10,Magi Native,9.905595,1
2423574732,TREATMENT,Electronics,01: 0-10,Shelby,10.390767,1
2329805400,TREATMENT,Electronics,07: 100-500,Helix,125.929088,1
1542458117,TREATMENT,Electronics,06: 50-100,Helix,52.344668,1
158299019,TREATMENT,Parts & Accessories,07: 100-500,Shelby,121.293000,1
2636749953,TREATMENT,Home & Garden,02: 10-20,Magi Native,106.530294,6
740227586,TREATMENT,Media,05: 40-50,Shelby,88.268079,2
2828332033,CONTROL,Media,05: 40-50,Helix,48.961941,1
2758960824,CONTROL,Electronics,04: 30-40,Magi Native,30.916238,1
42596713,CONTROL,Collectibles,02: 10-20,Helix,49.891854,3
6061779,CONTROL,Media,02: 10-20,Helix,47.964643,3
1776351440,TREATMENT,Parts & Accessories,04: 30-40,Native B2C BOLT,39.838012,1
157402719,TREATMENT,Fashion,01: 0-10,Auto Relist,54.662720,12
1594935262,TREATMENT,Fashion,06: 50-100,BLING,1729.502110,27
200641878,TREATMENT,Fashion,02: 10-20,Magi Native,41.509160,3
1179116439,TREATMENT,Collectibles,03: 20-30,Magi Native,30.121095,1
1285279884,TREATMENT,Collectibles,06: 50-100,Shelby,56.522538,1
97515710,TREATMENT,Collectibles,02: 10-20,Shelby,111.966916,7
2723709733,CONTROL,Electronics,03: 20-30,Shelby,27.250494,1
2822233301,CONTROL,Home & Garden,03: 20-30,BLING,176.616085,7
